Sig	AC>CA	AC>CG	AC>CT	AC>GA	AC>GG	AC>GT	AC>TA	AC>TG	AC>TT	AT>CA	AT>CC	AT>CG	AT>GA	AT>GC	AT>TA	CC>AA	CC>AG	CC>AT	CC>GA	CC>GG	CC>GT	CC>TA	CC>TG	CC>TT	CG>AT	CG>GC	CG>GT	CG>TA	CG>TC	CG>TT	CT>AA	CT>AC	CT>AG	CT>GA	CT>GC	CT>GG	CT>TA	CT>TC	CT>TG	GC>AA	GC>AG	GC>AT	GC>CA	GC>CG	GC>TA	TA>AT	TA>CG	TA>CT	TA>GC	TA>GG	TA>GT	TC>AA	TC>AG	TC>AT	TC>CA	TC>CG	TC>CT	TC>GA	TC>GG	TC>GT	TG>AA	TG>AC	TG>AT	TG>CA	TG>CC	TG>CT	TG>GA	TG>GC	TG>GT	TT>AA	TT>AC	TT>AG	TT>CA	TT>CC	TT>CG	TT>GA	TT>GC	TT>GG
DBS19	0.005019088	0.000614834	0.016252019	0.003369214	0.000779431	0.011904767	0.006233218	0.001016945	0.066818468	0.004322273	0.002047984	0.000297899	0.010191431	0.002339553	0.012281658	0.020589808	0.006289116	0.084441241	0.003858778	0.00106943	0.012067483	0.036277155	0.005603413	0.077856007	0.000254009	4.54E-05	9.18E-05	0.001895043	0.000296905	0.001626719	0.010148639	0.006679462	0.002646422	0.003176448	0.003364375	0.001009744	0.071396106	0.045766787	0.013528268	0.01319082	0.003964108	0.003925252	0.001043018	0.000184208	0.000915514	0.009849565	0.000585235	0.009324654	0.00025387	0.001149146	0.007717736	0.013038923	0.002819328	0.089890485	0.004528278	0.000635175	0.018195221	0.003204044	0.001200299	0.025897391	0.009196022	0.001923671	0.015606709	0.007013561	0.001872952	0.016813086	0.00328371	0.001364974	0.009557295	0.052897039	0.009625463	0.009413469	0.022062368	0.033990285	0.003706624	0.016435813	0.009665843	0.010591496
DBS2	0.000374079	3.17E-05	0.000126027	0.00023705	4.17E-18	0.000280059	0.001480313	6.36E-06	0.002920618	3.78E-05	4.17E-18	4.17E-18	0.000168036	5.85E-06	0.000458097	0.724153238	0.072615366	0.100021165	0.017703746	0.000450095	0.001100233	0.016003386	0.00023705	4.17E-18	0.001150243	0.000369078	0.001280271	4.17E-18	0.002150455	0.005561177	0.003210679	4.17E-18	0.000587124	1.81E-05	0.000134028	8.98E-05	0.003380715	3.84E-05	0.000390083	0.005081075	0.000325069	0.000953202	0.001060224	6.69E-05	0.000736156	0.002750582	1.89E-05	0.000280059	8.22E-05	7.89E-05	0.001300275	0.001450307	0.000200042	4.17E-18	0.000682144	3.89E-06	0.003350709	0.000885187	9.87E-06	8.57E-05	0.002960626	0.000220047	0.004290908	0.00014403	5.94E-05	0.00307065	0.001470311	0.000272058	0.006401355	0.004310912	0.000345073	0.000215046	4.17E-18	2.98E-06	1.52E-05	4.79E-05	1.54E-06	4.17E-18
DBS20	0.00503114	0.00190918	0.00237222	0.00158594	0.00263499	0.0003164	0.00933111	0.0001306	0.00251075	0.0022381	0.00123446	0.00155349	0.00845878	0.00036851	0.00293144	0.00037896	0.00397481	0.00553983	0.00085171	0.00268544	0.00415748	0.00994449	0.00199377	0.00585993	0.0014601	0.00015095	0.00024229	0.0005112	0.00127668	0.00039108	0.00960691	0.00569839	0.00057029	0.00312897	0.00063377	0.00050315	0.01808698	0.00065994	0.00600496	0.01018321	0.00971442	0.01683102	0.00996847	0.00098246	0.00031415	0.16094933	0.00644311	0.11690854	0.00286647	0.00980494	0.05618043	0.18018691	0.00799556	0.0239577	0.01512029	0.00047311	0.01822673	0.00704212	0.00095776	0.00543547	0.02281667	0.00386415	0.04884615	0.00243813	0.00013112	0.01212043	0.0191511	0.00051919	0.00525343	0.062662	0.01054644	0.01556096	0.00064064	0.00275531	0.00098567	0.00134789	0.00271044	0.00018887
DBS3	0.006347323	4.65E-05	0.003018727	0.005847534	0.00044981	0.010095742	0.001009574	1.11E-17	1.78E-06	0.007037032	0.009076172	0.014593845	0.001809237	0.005247787	0.002349009	0.009086168	1.11E-17	0.005887517	0.000634732	7.25E-05	1.14E-17	0.020791232	2.90E-05	1.11E-17	0.00028388	1.11E-17	1.11E-17	0.097858731	0.000721696	0.007166978	0.000102957	0.029087733	0.113951944	1.72E-05	2.69E-05	5.99E-05	0.000183922	0.006337327	0.052177995	2.16E-05	0.00052178	0.003988318	0.0002369	1.11E-17	0.004228217	0.001449389	0.003338592	0.000343855	0.001989161	0.005457698	0.000361847	0.005487686	6.14E-06	0.001119528	0.065472389	0.000115951	0.019391822	0.077767204	0.000176925	0.043381705	6.68E-05	8.04E-05	0.000957596	0.015893297	0.000483796	0.006067441	0.00052278	0.00049779	0.010295658	0.003218643	0.002428976	0.022890347	0.000693707	0.00815656	0.031786595	0.012294815	0.066471967	0.170927916
DBS4	0.004141857	4.96E-05	8.32E-18	0.004401974	7.01E-18	1.12E-08	0.00127057	5.31E-05	0.000161072	0.000916411	7.00E-18	9.46E-18	0.000324145	1.76E-05	0.004532032	7.00E-18	0.005432436	0.015707044	0.003551593	7.30E-05	7.99E-05	0.000170076	8.30E-06	7.00E-18	0.00029013	5.10E-06	7.00E-18	7.00E-18	7.00E-18	0.000361162	7.00E-18	7.00E-18	0.000363163	0.000673302	7.22E-05	0.000926415	7.00E-18	7.00E-18	3.08E-05	0.328147163	0.01130507	0.009244146	0.011905339	9.83E-07	0.017707941	0.030413639	0.000389175	0.008723912	7.02E-05	0.002220996	0.008063616	0.379170045	0.001870839	0.008413773	0.084637957	0.000400179	8.28E-06	0.036416331	1.04E-05	7.00E-18	0.007633423	0.000118053	7.00E-18	0.000804361	0.000120054	8.21E-05	0.007853522	0.000604271	3.23E-05	1.80E-05	6.60E-07	7.00E-18	7.00E-18	7.00E-18	7.25E-18	7.00E-18	7.00E-18	7.00E-18
DBS5	0.002139822	0.000461962	0.002019832	0.000557954	1.11E-17	0.000821932	0.001479877	0.001119907	0.007469379	0.000107991	2.13E-05	1.05E-17	0.001109908	1.05E-17	0.000792934	1.05E-17	0.024297979	0.002429798	6.76E-05	1.19E-05	2.48E-05	0.001269894	0.0048096	1.05E-17	0.001639864	9.92E-05	0.006479461	1.05E-17	2.98E-05	0.002219815	0.465961237	0.208982615	0.026697779	0.016098661	0.004849597	0.000569953	0.003339722	0.00023698	0.000873927	0.000132989	0.002659779	0.001569869	0.004579619	0.000322973	0.000221982	0.001869844	7.89E-06	0.002269811	5.22E-05	0.001629864	0.001909841	0.040396639	0.014898761	0.000747938	0.001429881	1.06E-17	0.001049913	2.46E-05	3.48E-05	3.86E-05	0.017998503	0.001459879	0.020398303	0.00047596	0.000505958	0.000327973	0.003269728	0.000291976	0.082693121	0.004919591	0.00096592	0.000892926	1.05E-17	0.000772936	1.05E-17	2.99E-05	5.66E-05	1.05E-17
DBS6	0.002660571	0.000146031	0.000240052	0.008581841	0.000104022	0.000132028	0.010102168	0.000449096	0.003180682	0.000114024	6.39E-05	1.82E-06	0.001620348	1.72E-05	0.002200472	8.30E-18	0.06161322	0.000438094	0.035507619	0.018103885	0.003440738	0.002220476	0.006871474	8.30E-18	0.007541618	0.000590127	0.003220691	8.30E-18	0.008911912	0.018704013	0.004480961	0.001950419	0.039508477	0.007341575	0.001790384	0.006811462	8.84E-05	8.30E-18	0.011202404	8.30E-18	0.003660785	0.001880403	0.008691865	9.04E-18	0.000829178	0.008571839	0.000259056	0.026105602	0.000264057	0.000218047	6.25E-05	0.045809829	0.008281777	0.000594127	0.011802532	0.000862185	0.009392015	0.007341575	0.001510324	8.30E-18	0.025505473	0.010102168	0.22104743	0.011402447	0.007891693	0.27505902	0.007441597	0.005601202	0.027405881	0.000193041	0.000128027	0.002120455	8.30E-18	8.30E-18	1.12E-05	8.30E-18	4.09E-07	8.30E-18
DBS7	0.045880132	0.006247295	0.013594113	0.009725788	0.002538901	0.004498052	0.005417654	0.000997568	0.001179489	0.011095195	0.00625729	0.00110952	0.014393767	0.009285979	0.033985283	9.04E-18	8.30E-05	0.000851631	0.000301869	0.002049113	0.000162929	9.04E-18	0.000235898	9.04E-18	6.21E-05	0.000186919	2.07E-05	9.04E-18	4.87E-05	3.13E-05	9.04E-18	1.01E-17	0.001259455	0.001869191	0.015593248	0.003998269	9.04E-18	0.063172644	9.04E-18	9.04E-18	7.30E-05	0.000349849	0.00066971	0.002648853	6.24E-06	0.055775847	0.00304868	0.029087404	0.001509346	0.004308134	0.026288616	0.019591516	4.00E-06	0.002289009	0.002708827	0.001629294	0.009186022	9.04E-18	0.000705694	9.04E-18	0.022590218	0.002618866	0.001289442	0.023889655	0.001049546	9.04E-18	0.008246429	0.003878321	0.00870623	0.23489828	0.039982686	0.053876669	0.09765771	0.035384677	0.002668844	0.043581128	0.003668411	9.04E-18
DBS8	0.214923552	0.000972654	0.317886928	0.001159588	0.000809712	0.000150946	0.012395591	0.002569086	0.000267905	2.78E-05	0.000142949	0.000265905	0.000161942	0.00022592	0.000314888	0.038086453	0.015494489	0.028789759	0.000808712	5.60E-05	0.000228919	0.000715745	0.004208503	0.004378443	0.000321886	1.13E-17	0.00120957	0.00050582	0.000904678	0.000328883	0.020592675	0.013995022	0.020392746	0.005568019	0.000236916	0.000305891	0.010896124	0.017793671	0.000965657	0.012895413	0.008516971	0.005508041	0.004828283	0.000241914	0.008556956	0.009696551	2.09E-05	0.004098542	0.000788719	0.000216923	0.000152946	0.038786204	0.011595875	0.018493422	0.017593742	0.010896124	0.008756885	0.009606583	0.001909321	0.000275902	0.008646924	0.003848631	0.008217077	0.005058201	0.001249556	0.019493066	0.000270904	0.003538741	0.007857205	0.003578727	1.13E-17	0.014594809	0.006287763	0.000293895	0.000115959	0.003628709	0.000285898	0.000537809
DBS9	0.024591818	0.002069312	0.028490521	0.025291585	0.007127629	0.012095976	0.041186297	0.017894047	0.044385233	0.012695776	0.001779408	9.22E-18	0.006367881	0.001809398	0.00919694	9.02E-18	0.02639122	0.019493515	0.010996342	0.003058982	0.017894047	0.000686772	0.015494845	9.02E-18	0.000218927	1.20E-05	9.94E-05	9.02E-18	0.000132956	8.29E-05	9.02E-18	9.02E-18	0.000581806	0.002839055	0.003108966	0.010396541	9.02E-18	3.00E-05	9.46E-18	9.02E-18	0.123958759	0.125958094	0.027390887	0.002499169	0.013995344	0.015494845	0.001349551	0.014195277	0.000578807	0.003248919	0.007777412	0.003688773	0.046684468	0.051782772	0.04878377	0.007787409	0.051382905	0.017294246	0.003728759	9.15E-18	0.015794745	0.007267582	0.000745752	0.022792417	0.011796075	0.000967678	0.006177945	0.0039087	0.003338889	0.000340887	0.006657785	0.000917695	9.03E-18	0.005158284	1.98E-05	9.17E-18	3.56E-05	9.02E-18
