Sig	DEL_C_1_0	DEL_C_1_1	DEL_C_1_2	DEL_C_1_3	DEL_C_1_4	DEL_C_1_5+	DEL_T_1_0	DEL_T_1_1	DEL_T_1_2	DEL_T_1_3	DEL_T_1_4	DEL_T_1_5+	INS_C_1_0	INS_C_1_1	INS_C_1_2	INS_C_1_3	INS_C_1_4	INS_C_1_5+	INS_T_1_0	INS_T_1_1	INS_T_1_2	INS_T_1_3	INS_T_1_4	INS_T_1_5+	DEL_MH_2_1	DEL_repeats_2_0	DEL_repeats_2_1	DEL_repeats_2_2	DEL_repeats_2_3	DEL_repeats_2_4	DEL_repeats_2_5+	INS_MH_2_1	INS_repeats_2_0	INS_repeats_2_1	INS_repeats_2_2	INS_repeats_2_3	INS_repeats_2_4	INS_repeats_2_5+	DEL_MH_3_1	DEL_MH_3_2	DEL_repeats_3_0	DEL_repeats_3_1	DEL_repeats_3_2	DEL_repeats_3_3	DEL_repeats_3_4	DEL_repeats_3_5+	INS_MH_3_1	INS_MH_3_2	INS_repeats_3_0	INS_repeats_3_1	INS_repeats_3_2	INS_repeats_3_3	INS_repeats_3_4	INS_repeats_3_5+	DEL_MH_4_1	DEL_MH_4_2	DEL_MH_4_3	DEL_repeats_4_0	DEL_repeats_4_1	DEL_repeats_4_2	DEL_repeats_4_3	DEL_repeats_4_4	DEL_repeats_4_5+	INS_MH_4_1	INS_MH_4_2	INS_MH_4_3	INS_repeats_4_0	INS_repeats_4_1	INS_repeats_4_2	INS_repeats_4_3	INS_repeats_4_4	INS_repeats_4_5+	DEL_MH_5+_1	DEL_MH_5+_2	DEL_MH_5+_3	DEL_MH_5+_4	DEL_MH_5+_5+	DEL_repeats_5+_0	DEL_repeats_5+_1	DEL_repeats_5+_2	DEL_repeats_5+_3	DEL_repeats_5+_4	DEL_repeats_5+_5+	INS_MH_5+_1	INS_MH_5+_2	INS_MH_5+_3	INS_MH_5+_4	INS_MH_5+_5+	INS_repeats_5+_0	INS_repeats_5+_1	INS_repeats_5+_2	INS_repeats_5+_3	INS_repeats_5+_4	INS_repeats_5+_5+
ID1	0.000159889000	0.000773523000	0.000000000000	0.001907613000	0.000705990000	0.003370115000	0.001311605000	0.000000000000	0.000936453000	0.002295855000	0.004291422000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000845986000	0.001785525000	0.024296536000	0.002283824000	0.000040300000	0.000192865000	0.004243267000	0.016649127000	0.890906464000	0.001197815000	0.000686046000	0.001219969000	0.000472749000	0.000426720000	0.000054600000	0.000000000000	0	0.000402036000	0.000007880000	0.000221347000	0.000514268000	0.002913100000	0.018121584000	0.000081900000	0.001479593000	0.000128045000	0.005011085000	0.000769383000	0.000371256000	0.000000000000	0.000000000000	0	0	0.000000306000	0.000254695000	0.000044100000	0.000166702000	0.000088900000	0.001248696000	0.000083800000	0.000145479000	0.000160684000	0.000099700000	0.000900503000	0.000003230000	0.000000000000	0.000000000000	0.000028900000	0	0	0	0.000000000000	0.000744381000	0.000075500000	0.000157544000	0.000319653000	0.001001320000	0.000000816000	0.000000000238	0.000000000002	0.000038800000	0.000665116000	0.000008350000	0.000190676000	0.000126355000	0.000018900000	0.000003110000	0.000031300000	0	0	0	0	0	0.000000000000	0.001443126000	0.000254832000	0.000237087000	0.000261865000	0.000119834000
ID10	0.025105414000	0.029306320000	0.018804056000	0.016503560000	0.002930632000	0.000000000000	0.028306105000	0.000000000000	0.001510326000	0.001420306000	0.002410520000	0.000000000000	0.000000000000	0.000345074000	0.000272059000	0.002580556000	0.000411089000	0.000851184000	0.017003667000	0.043809449000	0.003650787000	0.003750809000	0.000009660000	0.000000011100	0.000638138000	0.000839181000	0.009472042000	0.006541411000	0.000185040000	0.000000000000	0.000000000000	0	0.025305458000	0.038908392000	0.026205652000	0.000280060000	0.000000000000	0.000000000000	0.003960854000	0.019304164000	0.001200259000	0.042709211000	0.005061091000	0.002730589000	0.000000000000	0.000000000000	0	0	0.018103905000	0.055211908000	0.009432034000	0.000461099000	0.000187040000	0.000185040000	0.000179039000	0.000387083000	0.000082200000	0.001470317000	0.000521112000	0.000075000000	0.000132028000	0.000000000000	0.000209045000	0	0	0	0.016003452000	0.074616092000	0.004090882000	0.000239052000	0.002280492000	0.013802977000	0.001330287000	0.000124027000	0.000056500000	0.000104022000	0.041408931000	0.001390300000	0.026205652000	0.001770382000	0.000137030000	0.000125027000	0.001120242000	0	0	0	0	0	0.049210613000	0.278059971000	0.009221989000	0.003660789000	0.003340720000	0.002740591000
ID11	0.001576565000	0.000550318000	0.000357338000	0.000000000000	0.000000000000	0.000156465000	0.000944206000	0.000258505000	0.000516519000	0.000425680000	0.001932451000	0.006539395000	0.000186238000	0.163482884000	0.093738843000	0.036175640000	0.011189789000	0.003412242000	0.000406945000	0.314277276000	0.161807823000	0.107725327000	0.049030680000	0.023629043000	0.000382064000	0.000000000000	0.001363099000	0.000150729000	0.000000000000	0.000009130000	0.004527713000	0	0.000190467000	0.000000000000	0.000247885000	0.000372356000	0.000442384000	0.000288801000	0.000200443000	0.000301744000	0.000189442000	0.000390863000	0.000170422000	0.000127576000	0.001202108000	0.001742363000	0	0	0.000000000000	0.000207083000	0.000221526000	0.000021800000	0.000000000000	0.000090100000	0.000000000000	0.000000000000	0.000789868000	0.000000000000	0.000355504000	0.000000000000	0.000312137000	0.000687366000	0.000157603000	0	0	0	0.000159621000	0.000377636000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000282794000	0.000372771000	0.000750127000	0.000130278000	0.000518955000	0.001281454000	0.000474634000	0.000000000000	0.000000000000	0.000000000000	0.000000081800	0	0	0	0	0	0.000666060000	0.001151910000	0.000366007000	0.000000834000	0.000002250000	0.000001840000
ID12	0.052787741000	0.014674665000	0.000561932000	0.000995577000	0.002240050000	0.029410808000	0.045135118000	0.000000000000	0.010969204000	0.022109366000	0.044077964000	0.000348512000	0.000000000000	0.000167697000	0.001596586000	0.000450319000	0.004393930000	0.017051490000	0.004265301000	0.002496518000	0.000000000000	0.000105674000	0.000336480000	0.000166550000	0.002653503000	0.006268105000	0.000278425000	0.001398167000	0.000673310000	0.011980739000	0.251519845000	0	0.007440331000	0.001062301000	0.000550238000	0.000165525000	0.001018206000	0.038005197000	0.010328352000	0.006061158000	0.007599859000	0.000569429000	0.002680339000	0.005920051000	0.068622143000	0.097480944000	0	0	0.015150140000	0.000869573000	0.000183891000	0.000087000000	0.000340788000	0.002840312000	0.003771718000	0.004573153000	0.000525263000	0.001734516000	0.002302595000	0.000611679000	0.039259058000	0.053287873000	0.018644449000	0	0	0	0.005701178000	0.001908886000	0.000218490000	0.000176569000	0.000636053000	0.011670537000	0.000563378000	0.000000000000	0.000323568000	0.000277663000	0.006657973000	0.003382885000	0.002797035000	0.005103842000	0.002200952000	0.001256186000	0.006181260000	0	0	0	0	0	0.013790645000	0.003834265000	0.002130016000	0.002660489000	0.001592407000	0.006136070000
ID13	0.065548371000	0.017536463000	0.005120219000	0.005350516000	0.004346005000	0.000843056000	0.053698762000	0.498224168000	0.023777805000	0.062780952000	0.023004382000	0.006079575000	0.002850428000	0.001652256000	0.000821250000	0.000375555000	0.000148578000	0.000706981000	0.041137013000	0.004748853000	0.003054171000	0.009271857000	0.012098641000	0.011099794000	0.008872408000	0.022184399000	0.004333215000	0.003108924000	0.000105566000	0.000006130000	0.000066300000	0	0.010618411000	0.001801368000	0.000688524000	0.000743544000	0.000213354000	0.000846575000	0.001140083000	0.000450306000	0.003039667000	0.001186963000	0.000384379000	0.000069000000	0.000003090000	0.000099600000	0	0	0.000082100000	0.003688328000	0.000202511000	0.000023700000	0.000003490000	0.000035400000	0.001270798000	0.000159723000	0.000270578000	0.002155349000	0.000023000000	0.000079200000	0.000039200000	0.000009470000	0.000063000000	0	0	0	0.001118797000	0.002691635000	0.000069300000	0.000000639000	0.000012100000	0.000000314000	0.011740777000	0.007055421000	0.002165984000	0.000281736000	0.013131907000	0.020097536000	0.002980534000	0.000069900000	0.000006400000	0.000001460000	0.000002350000	0	0	0	0	0	0.002590231000	0.013501952000	0.000045900000	0.000046100000	0.000002430000	0.000043300000
ID14	0.012016009000	0.001946232000	0.000683696000	0.000487468000	0.002071921000	0.002370276000	0.018309803000	0.000852559000	0.010856423000	0.017183950000	0.013347903000	0.038616999000	0.454386955000	0.012777431000	0.000658850000	0.001564403000	0.001539502000	0.002292999000	0.032612007000	0.003165883000	0.001774606000	0.001173836000	0.004784999000	0.232747553000	0.002640925000	0.000661996000	0.006600036000	0.002701930000	0.000392799000	0.000001410000	0.000043700000	0	0.023942256000	0.000123773000	0.001114199000	0.000871483000	0.002973978000	0.000544275000	0.001575173000	0.003236935000	0.001146659000	0.004840165000	0.001053481000	0.000249605000	0.000000000000	0.000000000000	0	0	0.006623497000	0.002523200000	0.000204501000	0.000327493000	0.000601860000	0.002205997000	0.000008200000	0.000950493000	0.002230434000	0.000193687000	0.000617337000	0.000524295000	0.000050300000	0.000007730000	0.000000000000	0	0	0	0.005946930000	0.001326926000	0.000084500000	0.000713852000	0.001665010000	0.000274449000	0.006551706000	0.004498634000	0.001404487000	0.000100143000	0.000931512000	0.006086814000	0.000314462000	0.000021300000	0.000028500000	0.000015000000	0.000090800000	0	0	0	0	0	0.002712141000	0.026455525000	0.000488313000	0.000103831000	0.000157593000	0.000021500000
ID15	0.026527369337	0.121009787006	0.147828864434	0.136006057901	0.084197696107	0.018458292733	0.023951636849	0.079960110018	0.120410466468	0.113431215343	0.079178831808	0.046903214754	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000093523265	0.000000000000	0.000000000000	0.000000000000	0	0	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000001394472	0.000000000000	0.000001759437	0	0	0	0.000000000000	0.000000000000	0.000000000000	0.000001360924	0.000001445999	0.000000000000	0.000660877106	0.000432409451	0.000266126072	0.000247928132	0.000139828818	0.000284018024	0.000000000000	0.000000000000	0.000001245787	0.000000000000	0.000001736492	0	0	0	0	0	0.000000000000	0.000000000000	0.000001181990	0.000001621273	0.000000000000	0.000000000000
ID16	0.000952768886	0.000000000000	0.000081541662	0.001624913540	0.003378642557	0.000000000000	0.000628649515	0.000157040099	0.000000000000	0.000000000000	0.001001650695	0.000000000000	0.060271337204	0.136484095404	0.124683558062	0.098883120555	0.062094379253	0.031034602638	0.030194286807	0.103160227092	0.108738482880	0.100939445323	0.051962376447	0.035007685849	0.001374200876	0.001922942225	0.002014646126	0.001116794299	0.000472257145	0.000038826120	0.000000000000	0	0.002191792829	0.001087847766	0.000729931569	0.000094811243	0.000131664280	0.000001183233	0.000764470283	0.000980363974	0.001060141379	0.002325923251	0.001150375093	0.000120553148	0.000016070240	0.000009580848	0	0	0.000570589182	0.001092184116	0.000281270541	0.000031803876	0.000075573360	0.000022898751	0.000504717901	0.000409799521	0.000402367650	0.000698912463	0.000426295988	0.000078349754	0.000000000000	0.000002630987	0.000000000000	0	0	0	0.000327559887	0.001506978194	0.000044996274	0.000000301647	0.000009395155	0.000000000000	0.005362049162	0.005021714673	0.003338839808	0.001329897366	0.001601628709	0.005568790136	0.000110240786	0.000015433857	0.000006725311	0.000000267193	0.000000000000	0	0	0	0	0	0.001172586629	0.001101192457	0.000000828267	0.000000000000	0.000000000000	0.000000000000
ID17	0.006117598535	0.003667555307	0.001220326697	0.000000022593	0.000000019409	0.001220933345	0.006088346567	0.004903196497	0.001225482084	0.001223810190	0.000000001342	0.000000046268	0.004878118013	0.014767198727	0.029260404747	0.049254521821	0.024538407850	0.009790502823	0.004892794359	0.038893640722	0.043924607908	0.004872090621	0.004903485565	0.004873829569	0.003668966485	0.014682053832	0.008535950893	0.000000014600	0.000000034958	0.000000043445	0.000000038870	0	0.034379413578	0.058508649263	0.063694192966	0.009762713015	0.000000003844	0.000000046441	0.004887303581	0.003681075516	0.008558572900	0.002445445880	0.000000034116	0.000000019854	0.000000021307	0.000000045148	0	0	0.019583137446	0.112273274400	0.038874478692	0.000000013917	0.000000028351	0.000000027807	0.010979730595	0.004890441606	0.003659616970	0.006109585397	0.000000015535	0.000000038265	0.000000014606	0.000000003194	0.000000004438	0	0	0	0.014692452196	0.210245111020	0.009749096935	0.000000018609	0.000000009678	0.000000011655	0.020771328042	0.012290058301	0.008596257899	0.004897913423	0.006075636045	0.023396375572	0.000000019158	0.000000048582	0.000000034344	0.000000009207	0.000000033354	0	0	0	0	0	0.014673881997	0.004919532327	0.000000046446	0.000000047557	0.000000039557	0.000000044828
ID18	0.006012024000	0.002004008000	0.002004008000	0.004008016000	0	0.002004008000	0.086172345000	0.172344689000	0.118236473000	0.238476954000	0.090180361000	0.070140281000	0	0.002004008000	0	0	0	0	0	0.002004008000	0	0.002000000000	0.008016032000	0.004008016000	0.018036072000	0	0.036072144000	0.002004008000	0	0.002004008000	0	0	0	0	0	0.002004008000	0	0.002004008000	0	0	0.004008016000	0.006012024000	0	0	0	0	0	0	0.004008016000	0	0	0	0	0	0.006012024000	0	0	0.004008016000	0.002004008000	0	0	0	0	0	0	0	0	0.002004008000	0	0	0	0	0.030060120000	0.022044088000	0.006012024000	0.004008016000	0	0.024048096000	0	0	0	0	0	0	0	0	0	0	0.012024048000	0.002004008000	0	0	0	0
