Sig	DEL_C_1_0	DEL_C_1_1	DEL_C_1_2	DEL_C_1_3	DEL_C_1_4	DEL_C_1_5+	DEL_MH_2_1	DEL_MH_3_1	DEL_MH_3_2	DEL_MH_4_1	DEL_MH_4_2	DEL_MH_4_3	DEL_MH_5+_1	DEL_MH_5+_2	DEL_MH_5+_3	DEL_MH_5+_4	DEL_MH_5+_5+	DEL_T_1_0	DEL_T_1_1	DEL_T_1_2	DEL_T_1_3	DEL_T_1_4	DEL_T_1_5+	DEL_repeats_2_0	DEL_repeats_2_1	DEL_repeats_2_2	DEL_repeats_2_3	DEL_repeats_2_4	DEL_repeats_2_5+	DEL_repeats_3_0	DEL_repeats_3_1	DEL_repeats_3_2	DEL_repeats_3_3	DEL_repeats_3_4	DEL_repeats_3_5+	DEL_repeats_4_0	DEL_repeats_4_1	DEL_repeats_4_2	DEL_repeats_4_3	DEL_repeats_4_4	DEL_repeats_4_5+	DEL_repeats_5+_0	DEL_repeats_5+_1	DEL_repeats_5+_2	DEL_repeats_5+_3	DEL_repeats_5+_4	DEL_repeats_5+_5+	INS_C_1_0	INS_C_1_1	INS_C_1_2	INS_C_1_3	INS_C_1_4	INS_C_1_5+	INS_T_1_0	INS_T_1_1	INS_T_1_2	INS_T_1_3	INS_T_1_4	INS_T_1_5+	INS_repeats_2_0	INS_repeats_2_1	INS_repeats_2_2	INS_repeats_2_3	INS_repeats_2_4	INS_repeats_2_5+	INS_repeats_3_0	INS_repeats_3_1	INS_repeats_3_2	INS_repeats_3_3	INS_repeats_3_4	INS_repeats_3_5+	INS_repeats_4_0	INS_repeats_4_1	INS_repeats_4_2	INS_repeats_4_3	INS_repeats_4_4	INS_repeats_4_5+	INS_repeats_5+_0	INS_repeats_5+_1	INS_repeats_5+_2	INS_repeats_5+_3	INS_repeats_5+_4	INS_repeats_5+_5+
ID1	0.000159889	0.000773523	3.31E-18	0.001907613	0.00070599	0.003370115	0.001197815	8.19E-05	0.001479593	8.38E-05	0.000145479	0.000160684	8.16E-07	2.38E-10	2.33E-12	3.88E-05	0.000665116	0.001311605	3.31E-18	0.000936453	0.002295855	0.004291422	3.31E-18	0.000686046	0.001219969	0.000472749	0.00042672	5.46E-05	3.31E-18	0.000128045	0.005011085	0.000769383	0.000371256	3.31E-18	3.31E-18	9.97E-05	0.000900503	3.23E-06	3.31E-18	3.31E-18	2.89E-05	8.35E-06	0.000190676	0.000126355	1.89E-05	3.11E-06	3.13E-05	3.31E-18	3.31E-18	3.31E-18	0.000845986	0.001785525	0.024296536	0.002283824	4.03E-05	0.000192865	0.004243267	0.016649127	0.890906464	0.000402036	7.88E-06	0.000221347	0.000514268	0.0029131	0.018121584	3.06E-07	0.000254695	4.41E-05	0.000166702	8.89E-05	0.001248696	3.31E-18	0.000744381	7.55E-05	0.000157544	0.000319653	0.00100132	3.31E-18	0.001443126	0.000254832	0.000237087	0.000261865	0.000119834
ID10	0.025105414	0.02930632	0.018804056	0.01650356	0.002930632	8.42E-18	0.000638138	0.003960854	0.019304164	0.000179039	0.000387083	8.22E-05	0.001330287	0.000124027	5.65E-05	0.000104022	0.041408931	0.028306105	8.42E-18	0.001510326	0.001420306	0.00241052	1.27E-17	0.000839181	0.009472042	0.006541411	0.00018504	8.42E-18	8.42E-18	0.001200259	0.042709211	0.005061091	0.002730589	8.42E-18	8.42E-18	0.001470317	0.000521112	7.50E-05	0.000132028	8.42E-18	0.000209045	0.0013903	0.026205652	0.001770382	0.00013703	0.000125027	0.001120242	8.42E-18	0.000345074	0.000272059	0.002580556	0.000411089	0.000851184	0.017003667	0.043809449	0.003650787	0.003750809	9.66E-06	1.11E-08	0.025305458	0.038908392	0.026205652	0.00028006	8.42E-18	8.42E-18	0.018103905	0.055211908	0.009432034	0.000461099	0.00018704	0.00018504	0.016003452	0.074616092	0.004090882	0.000239052	0.002280492	0.013802977	0.049210613	0.278059971	0.009221989	0.003660789	0.00334072	0.002740591
ID11	0.001576565	0.000550318	0.000357338	9.08E-18	9.08E-18	0.000156465	0.000382064	0.000200443	0.000301744	9.08E-18	9.08E-18	0.000789868	0.000282794	0.000372771	0.000750127	0.000130278	0.000518955	0.000944206	0.000258505	0.000516519	0.00042568	0.001932451	0.006539395	9.08E-18	0.001363099	0.000150729	9.08E-18	9.13E-06	0.004527713	0.000189442	0.000390863	0.000170422	0.000127576	0.001202108	0.001742363	9.08E-18	0.000355504	9.08E-18	0.000312137	0.000687366	0.000157603	0.001281454	0.000474634	9.08E-18	9.08E-18	9.08E-18	8.18E-08	0.000186238	0.163482884	0.093738843	0.03617564	0.011189789	0.003412242	0.000406945	0.314277276	0.161807823	0.107725327	0.04903068	0.023629043	0.000190467	9.08E-18	0.000247885	0.000372356	0.000442384	0.000288801	9.08E-18	0.000207083	0.000221526	2.18E-05	9.08E-18	9.01E-05	0.000159621	0.000377636	9.08E-18	9.08E-18	9.08E-18	9.08E-18	0.00066606	0.00115191	0.000366007	8.34E-07	2.25E-06	1.84E-06
ID12	0.052787741	0.014674665	0.000561932	0.000995577	0.00224005	0.029410808	0.002653503	0.010328352	0.006061158	0.003771718	0.004573153	0.000525263	0.000563378	1.42E-17	0.000323568	0.000277663	0.006657973	0.045135118	1.42E-17	0.010969204	0.022109366	0.044077964	0.000348512	0.006268105	0.000278425	0.001398167	0.00067331	0.011980739	0.251519845	0.007599859	0.000569429	0.002680339	0.005920051	0.068622143	0.097480944	0.001734516	0.002302595	0.000611679	0.039259058	0.053287873	0.018644449	0.003382885	0.002797035	0.005103842	0.002200952	0.001256186	0.00618126	1.42E-17	0.000167697	0.001596586	0.000450319	0.00439393	0.01705149	0.004265301	0.002496518	1.42E-17	0.000105674	0.00033648	0.00016655	0.007440331	0.001062301	0.000550238	0.000165525	0.001018206	0.038005197	0.01515014	0.000869573	0.000183891	8.70E-05	0.000340788	0.002840312	0.005701178	0.001908886	0.00021849	0.000176569	0.000636053	0.011670537	0.013790645	0.003834265	0.002130016	0.002660489	0.001592407	0.00613607
ID13	0.065548371	0.017536463	0.005120219	0.005350516	0.004346005	0.000843056	0.008872408	0.001140083	0.000450306	0.001270798	0.000159723	0.000270578	0.011740777	0.007055421	0.002165984	0.000281736	0.013131907	0.053698762	0.498224168	0.023777805	0.062780952	0.023004382	0.006079575	0.022184399	0.004333215	0.003108924	0.000105566	6.13E-06	6.63E-05	0.003039667	0.001186963	0.000384379	6.90E-05	3.09E-06	9.96E-05	0.002155349	2.30E-05	7.92E-05	3.92E-05	9.47E-06	6.30E-05	0.020097536	0.002980534	6.99E-05	6.40E-06	1.46E-06	2.35E-06	0.002850428	0.001652256	0.00082125	0.000375555	0.000148578	0.000706981	0.041137013	0.004748853	0.003054171	0.009271857	0.012098641	0.011099794	0.010618411	0.001801368	0.000688524	0.000743544	0.000213354	0.000846575	8.21E-05	0.003688328	0.000202511	2.37E-05	3.49E-06	3.54E-05	0.001118797	0.002691635	6.93E-05	6.39E-07	1.21E-05	3.14E-07	0.002590231	0.013501952	4.59E-05	4.61E-05	2.43E-06	4.33E-05
ID14	0.012016009	0.001946232	0.000683696	0.000487468	0.002071921	0.002370276	0.002640925	0.001575173	0.003236935	8.20E-06	0.000950493	0.002230434	0.006551706	0.004498634	0.001404487	0.000100143	0.000931512	0.018309803	0.000852559	0.010856423	0.01718395	0.013347903	0.038616999	0.000661996	0.006600036	0.00270193	0.000392799	1.41E-06	4.37E-05	0.001146659	0.004840165	0.001053481	0.000249605	9.19E-18	9.19E-18	0.000193687	0.000617337	0.000524295	5.03E-05	7.73E-06	9.19E-18	0.006086814	0.000314462	2.13E-05	2.85E-05	1.50E-05	9.08E-05	0.454386955	0.012777431	0.00065885	0.001564403	0.001539502	0.002292999	0.032612007	0.003165883	0.001774606	0.001173836	0.004784999	0.232747553	0.023942256	0.000123773	0.001114199	0.000871483	0.002973978	0.000544275	0.006623497	0.0025232	0.000204501	0.000327493	0.00060186	0.002205997	0.00594693	0.001326926	8.45E-05	0.000713852	0.00166501	0.000274449	0.002712141	0.026455525	0.000488313	0.000103831	0.000157593	2.15E-05
ID15	0.026527369337078000000000000000000000	0.121009787005920000000000000000000000	0.147828864433683000000000000000000000	0.136006057901119000000000000000000000	0.084197696106663800000000000000000000	0.018458292732681300000000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000660877105516124000000000000000000	0.000432409450773911000000000000000000	0.000266126072421460000000000000000000	0.000247928132326935000000000000000000	0.000139828818249736000000000000000000	0.023951636848662400000000000000000000	0.079960110018337200000000000000000000	0.120410466467629000000000000000000000	0.113431215342833000000000000000000000	0.079178831808195000000000000000000000	0.046903214753917000000000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000093523264941898600000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000001394472216259220000000000000000	0.000000000000000006580046105521640000	0.000001759436661760400000000000000000	0.000284018024499145000000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000001245786581127500000000000000000	0.000000000000000006580046105521640000	0.000001736492308136650000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000001360924216996120000000000000000	0.000001445999351947350000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000	0.000001181990126437270000000000000000	0.000001621273088488000000000000000000	0.000000000000000006580046105521640000	0.000000000000000006580046105521640000
ID16	0.000952768885842137000000000000000000	0.000000000000000002639156422676980000	0.000081541662061712000000000000000000	0.001624913539869880000000000000000000	0.003378642556700550000000000000000000	0.000000000000000002650637537596730000	0.001374200875933520000000000000000000	0.000764470282770831000000000000000000	0.000980363974341033000000000000000000	0.000504717900987043000000000000000000	0.000409799520784757000000000000000000	0.000402367649801000000000000000000000	0.005362049161849870000000000000000000	0.005021714673405860000000000000000000	0.003338839808445050000000000000000000	0.001329897366056320000000000000000000	0.001601628708554970000000000000000000	0.000628649514543184000000000000000000	0.000157040098524865000000000000000000	0.000000000000000002658063801837440000	0.000000000000000002660793870079300000	0.001001650695132960000000000000000000	0.000000000000000002790976734341010000	0.001922942225461960000000000000000000	0.002014646125867340000000000000000000	0.001116794298881000000000000000000000	0.000472257144989337000000000000000000	0.000038826119944879800000000000000000	0.000000000000000002640645684788460000	0.001060141379366790000000000000000000	0.002325923251047060000000000000000000	0.001150375092810330000000000000000000	0.000120553148361788000000000000000000	0.000016070239927199300000000000000000	0.000009580847636492400000000000000000	0.000698912463470956000000000000000000	0.000426295988029820000000000000000000	0.000078349753723286800000000000000000	0.000000000000000002636510888323430000	0.000002630986824479600000000000000000	0.000000000000000002637974285109750000	0.005568790135899660000000000000000000	0.000110240786487051000000000000000000	0.000015433857393331600000000000000000	0.000006725311137635920000000000000000	0.000000267193468891148000000000000000	0.000000000000000002629570099108240000	0.060271337204021900000000000000000000	0.136484095403874000000000000000000000	0.124683558062386000000000000000000000	0.098883120555405500000000000000000000	0.062094379252895600000000000000000000	0.031034602638488800000000000000000000	0.030194286807276900000000000000000000	0.103160227092233000000000000000000000	0.108738482879835000000000000000000000	0.100939445323406000000000000000000000	0.051962376447005400000000000000000000	0.035007685849255800000000000000000000	0.002191792828649200000000000000000000	0.001087847765860420000000000000000000	0.000729931569198568000000000000000000	0.000094811243302427900000000000000000	0.000131664280470189000000000000000000	0.000001183233086399070000000000000000	0.000570589182021802000000000000000000	0.001092184115997000000000000000000000	0.000281270540937246000000000000000000	0.000031803876100315700000000000000000	0.000075573360370254000000000000000000	0.000022898751236993400000000000000000	0.000327559887237071000000000000000000	0.001506978193539490000000000000000000	0.000044996273776367500000000000000000	0.000000301646709616391000000000000000	0.000009395155377161020000000000000000	0.000000000000000002656344071318450000	0.001172586629499320000000000000000000	0.001101192457418800000000000000000000	0.000000828266792667268000000000000000	0.000000000000000002657573256307550000	0.000000000000000002655639750484530000	0.000000000000000002650695441165990000
ID17	0.006117598535198470000000000000000000	0.003667555306520000000000000000000000	0.001220326696932850000000000000000000	0.000000022592683373783800000000000000	0.000000019409435819691600000000000000	0.001220933344508460000000000000000000	0.003668966485218950000000000000000000	0.004887303580520900000000000000000000	0.003681075515542340000000000000000000	0.010979730594507600000000000000000000	0.004890441605670250000000000000000000	0.003659616969830140000000000000000000	0.020771328041854900000000000000000000	0.012290058300929000000000000000000000	0.008596257898626070000000000000000000	0.004897913423441860000000000000000000	0.006075636045448120000000000000000000	0.006088346566671200000000000000000000	0.004903196497256920000000000000000000	0.001225482083931690000000000000000000	0.001223810190496120000000000000000000	0.000000001341502684065110000000000000	0.000000046267753467849800000000000000	0.014682053832033900000000000000000000	0.008535950893404180000000000000000000	0.000000014600226807836800000000000000	0.000000034958315449022900000000000000	0.000000043445385312785200000000000000	0.000000038869524210953700000000000000	0.008558572900201030000000000000000000	0.002445445880167290000000000000000000	0.000000034115781096949200000000000000	0.000000019853711343836200000000000000	0.000000021306519417060800000000000000	0.000000045148072574929200000000000000	0.006109585396574060000000000000000000	0.000000015535086148577100000000000000	0.000000038264943538325100000000000000	0.000000014606412721774900000000000000	0.000000003193722948047100000000000000	0.000000004438089261110750000000000000	0.023396375571820100000000000000000000	0.000000019158415979671700000000000000	0.000000048582022521930300000000000000	0.000000034343592785961600000000000000	0.000000009206612054352910000000000000	0.000000033353565753052700000000000000	0.004878118013299390000000000000000000	0.014767198726863700000000000000000000	0.029260404747303900000000000000000000	0.049254521820881200000000000000000000	0.024538407850484000000000000000000000	0.009790502822695310000000000000000000	0.004892794359468230000000000000000000	0.038893640722324300000000000000000000	0.043924607907875500000000000000000000	0.004872090621479030000000000000000000	0.004903485564834250000000000000000000	0.004873829568653140000000000000000000	0.034379413578380100000000000000000000	0.058508649263265200000000000000000000	0.063694192966441100000000000000000000	0.009762713015101840000000000000000000	0.000000003843714446244520000000000000	0.000000046440662521800800000000000000	0.019583137445789600000000000000000000	0.112273274400416000000000000000000000	0.038874478692013900000000000000000000	0.000000013916949802668700000000000000	0.000000028351002653330100000000000000	0.000000027807494191078200000000000000	0.014692452195536100000000000000000000	0.210245111019824000000000000000000000	0.009749096934977870000000000000000000	0.000000018609434419874700000000000000	0.000000009677650067605120000000000000	0.000000011654873202859800000000000000	0.014673881997130400000000000000000000	0.004919532326989640000000000000000000	0.000000046445807436868000000000000000	0.000000047556578447337200000000000000	0.000000039556732656830800000000000000	0.000000044828391015637100000000000000
ID2	0.004824116	2.21E-05	3.11E-06	0.002472076	0.003856976	0.014615424	0.000175553	5.46E-07	0.002944063	0.000147005	0.000550614	0.000693566	0.000624963	0.000117708	5.67E-05	0.000462842	0.002367319	0.007905966	3.95E-18	0.007036418	0.020234743	0.047119925	0.814697222	0.000163809	0.003568885	0.001849574	0.000739044	0.000881932	4.67E-18	1.25E-05	0.005003258	0.002289891	0.000402587	3.97E-18	3.95E-18	1.21E-05	0.002115787	0.000543292	7.27E-06	3.95E-18	0.000210413	3.85E-05	0.002977512	0.000397525	0.000158151	8.47E-05	2.12E-05	3.95E-18	0.000227026	2.62E-05	0.00043005	0.002911846	0.009017536	0.001328556	3.95E-18	0.000647033	0.001082879	0.003487461	0.003132585	0.000331853	0.000271665	0.001035341	0.000381326	0.001977423	0.013633376	5.78E-05	0.00122705	0.000210075	3.02E-06	0.000141807	0.001864707	1.68E-05	0.001203728	1.22E-05	0.000134169	0.000249385	0.002193545	3.95E-18	0.000135658	5.53E-06	9.77E-05	2.15E-06	0.000115629
