Sig	AC>CA	AC>CG	AC>CT	AC>GA	AC>GG	AC>GT	AC>TA	AC>TG	AC>TT	AT>CA	AT>CC	AT>CG	AT>GA	AT>GC	AT>TA	CC>AA	CC>AG	CC>AT	CC>GA	CC>GG	CC>GT	CC>TA	CC>TG	CC>TT	CG>AT	CG>GC	CG>GT	CG>TA	CG>TC	CG>TT	CT>AA	CT>AC	CT>AG	CT>GA	CT>GC	CT>GG	CT>TA	CT>TC	CT>TG	GC>AA	GC>AG	GC>AT	GC>CA	GC>CG	GC>TA	TA>AT	TA>CG	TA>CT	TA>GC	TA>GG	TA>GT	TC>AA	TC>AG	TC>AT	TC>CA	TC>CG	TC>CT	TC>GA	TC>GG	TC>GT	TG>AA	TG>AC	TG>AT	TG>CA	TG>CC	TG>CT	TG>GA	TG>GC	TG>GT	TT>AA	TT>AC	TT>AG	TT>CA	TT>CC	TT>CG	TT>GA	TT>GC	TT>GG
DBS1	0.000049712635	0.000026406712	0.004291090624	0.000127032287	0.000057114516	0.002960752505	0.001200305070	0.000172043727	0.026506736952	0.000482122536	0.000297075505	0.000003981012	0.002120538956	0.000174044235	0.002340594886	0.000010602695	0.000012303127	0.018704754000	0.000134034066	0.000098224965	0.006921759234	0.010402643936	0.002550648273	0.858218124719	0.000000603153	0.000005421378	0.000001700432	0.000356090504	0.000012603203	0.000124031524	0.000027707042	0.000419106520	0.000000000000	0.000089222677	0.000252064065	0.000010802746	0.007811985494	0.010502669358	0.002240569463	0.001580401675	0.000107027202	0.000048712381	0.000057614643	0.000005151309	0.000000827210	0.000505128383	0.000007551919	0.000702178466	0.000020105110	0.000070317872	0.001150292358	0.000010902771	0.000003090786	0.002460625393	0.000004421124	0.000033008389	0.001900483027	0.000064216321	0.000411104486	0.005101296546	0.001370348288	0.000237060251	0.002410612681	0.000279070929	0.000103026185	0.001850470316	0.000407103469	0.000088922601	0.001900483027	0.005491395693	0.000720183042	0.000418106266	0.000725184313	0.005421377897	0.000083821304	0.001860472858	0.001060269478	0.001610409302
DBS10	0.009630417382	0.000017700767	0.013500585115	0.005350231879	0.000590025572	0.028701243912	0.000105004551	0.000007660332	0.000710030773	0.003530152997	0.001160050277	0.002590112255	0.000080603493	0.004080176835	0.002930126992	0.013700593784	0.000071303090	0.010500455090	0.003390146929	0.000000000000	0.001080046809	0.023901035871	0.000000000000	0.020600892843	0.000000000000	0.000019000823	0.000010200442	0.358015516392	0.002650114856	0.007770336766	0.003930170334	0.013000563444	0.026501148560	0.000000000000	0.000000000000	0.000000000000	0.004030174668	0.002750119190	0.045701980724	0.004080176835	0.000000000000	0.007750335900	0.000105004551	0.000000000000	0.002810121791	0.010400450756	0.004110178135	0.001620070214	0.000000000000	0.008590372307	0.003610156464	0.007560327665	0.000271011746	0.003090133926	0.025201092215	0.000842036494	0.026201135557	0.043801898374	0.000000000000	0.045901989392	0.001420061545	0.000207008972	0.002500108355	0.029201265583	0.000190008235	0.004330187670	0.000020200876	0.000000000000	0.002170094052	0.014500628457	0.000000000000	0.006960301659	0.001290055911	0.002880124825	0.008580371873	0.008690376641	0.025801118220	0.084703671057
DBS11	0.001369906600	0.000193986774	0.000755948459	0.000441969866	0.002249846605	0.005709610719	0.000263982002	0.000238983706	0.002819807746	0.009479353698	0.001899870467	0.000017398814	0.011199236436	0.004179715027	0.003839738207	0.000000000000	0.000971933734	0.034497647950	0.000952935029	0.003449764795	0.069495261813	0.058795991289	0.032297797936	0.331977365783	0.001819875921	0.000165988683	0.001179919553	0.000000000000	0.000684953300	0.000698952345	0.004399700028	0.002349839788	0.000495966185	0.011599209166	0.006109583449	0.004019725935	0.041697157088	0.002989796156	0.001479899100	0.000999931825	0.003289775703	0.027198145630	0.002109856150	0.004039724572	0.000242983433	0.002229847969	0.000583960186	0.003379769567	0.001019930461	0.000374974434	0.002669817972	0.000216985206	0.047396768488	0.084594232365	0.000281980775	0.003239779112	0.020098629675	0.000234983979	0.007329500275	0.015198963735	0.007829466187	0.000865940960	0.010499284159	0.056096175363	0.003129786611	0.005579619582	0.007309501638	0.006119582767	0.005239642761	0.004769674804	0.001039929098	0.001269913417	0.002019862286	0.003999727299	0.000000000000	0.000706951800	0.000005779606	0.000000000000
DBS2	0.000374079159	0.000031706709	0.000126026669	0.000237050162	0.000000000000	0.000280059263	0.001480313249	0.000006361346	0.002920618032	0.000037808001	0.000000000000	0.000000000000	0.000168035558	0.000005851238	0.000458096938	0.724153238067	0.072615366138	0.100021165479	0.017703746290	0.000450095245	0.001100232820	0.016003386477	0.000237050162	0.000000000000	0.001150243403	0.000369078101	0.001280270918	0.000000000000	0.002150455058	0.005561176801	0.003210679412	0.000000000000	0.000587124241	0.000018103831	0.000134028362	0.000089819007	0.003380715393	0.000038408128	0.000390082545	0.005081075206	0.000325068788	0.000953201707	0.001060224354	0.000066914160	0.000736155778	0.002750582051	0.000018904000	0.000280059263	0.000082217398	0.000078916700	0.001300275151	0.001450306899	0.000200042331	0.000000000000	0.000682144349	0.000003890823	0.003350709044	0.000885187314	0.000009872089	0.000085718139	0.002960626498	0.000220046564	0.004290907999	0.000144030478	0.000059412572	0.003070649780	0.001470311133	0.000272057570	0.006401354591	0.004310912232	0.000345073021	0.000215045506	0.000000000000	0.000002980631	0.000015203217	0.000047910138	0.000001540326	0.000000000000
DBS3	0.006347323207	0.000046480398	0.003018726942	0.005847533978	0.000449810306	0.010095742424	0.001009574242	0.000000000000	0.000001779250	0.007037032343	0.009076172397	0.014593845483	0.001809237009	0.005247786903	0.002349009376	0.009086168181	0.000000000000	0.005887517116	0.000634732321	0.000072469438	0.000000000000	0.020791231922	0.000028987775	0.000000000000	0.000283880282	0.000000000000	0.000000000000	0.097858731016	0.000721695647	0.007166977542	0.000102956581	0.029087733121	0.113951944186	0.000017192749	0.000026888661	0.000059874750	0.000183922436	0.006337327422	0.052177995496	0.000021590895	0.000521779955	0.003988318047	0.000236900094	0.000000000000	0.004228216876	0.001449388764	0.003338592049	0.000343854989	0.001989161131	0.005457698379	0.000361847402	0.005487685733	0.000006137412	0.001119527873	0.065472388984	0.000115951101	0.019391822081	0.077767204015	0.000176925387	0.043381705067	0.000066771841	0.000080366108	0.000957596163	0.015893297479	0.000483795974	0.006067441239	0.000522779533	0.000497790072	0.010295658115	0.003218642634	0.002428975652	0.022890346683	0.000693707450	0.008156560215	0.031786594957	0.012294815031	0.066471967442	0.170927916279
DBS4	0.004141857481	0.000049622254	0.000000000000	0.004401974135	0.000000000000	0.000000011205	0.001270569807	0.000053123824	0.000161072235	0.000916410979	0.000000000000	0.000000000000	0.000324145368	0.000017607897	0.004532032462	0.000000000000	0.005432436262	0.015707044072	0.003551592768	0.000073032753	0.000079935848	0.000170076273	0.000008303724	0.000000000000	0.000290130113	0.000005102288	0.000000000000	0.000000000000	0.000000000000	0.000361161969	0.000000000000	0.000000000000	0.000363162866	0.000673301953	0.000072232394	0.000926415466	0.000000000000	0.000000000000	0.000030813819	0.328147162780	0.011305069937	0.009244145683	0.011905339137	0.000000983441	0.017707941406	0.030413639477	0.000389174531	0.008723912376	0.000070231496	0.002220996041	0.008063616256	0.379170044797	0.001870839007	0.008413773290	0.084637957229	0.000400179467	0.000008283715	0.036416331479	0.000010404666	0.000000000000	0.007633423329	0.000118052943	0.000000000000	0.000804360728	0.000120053840	0.000082136836	0.007853522036	0.000604270995	0.000032314492	0.000018008076	0.000000660296	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000
DBS5	0.002139821988	0.000461961569	0.002019831970	0.000557953584	0.000000000000	0.000821931624	0.001479876889	0.001119906835	0.007469378622	0.000107991016	0.000021298228	0.000000000000	0.001109907667	0.000000000000	0.000792934036	0.000000000000	0.024297978651	0.002429797865	0.000067594377	0.000011899010	0.000024797937	0.001269894357	0.004809599889	0.000000000000	0.001639863580	0.000099191748	0.006479460974	0.000000000000	0.000029797521	0.002219815334	0.465961236685	0.208982614736	0.026697779012	0.016098660752	0.004849596562	0.000569952586	0.003339722169	0.000236980286	0.000873927298	0.000132988937	0.002659778733	0.001569869403	0.004579619021	0.000322973132	0.000221981533	0.001869844448	0.000007889344	0.002269811174	0.000052195658	0.001629864412	0.001909841120	0.040396639404	0.014898760572	0.000747937779	0.001429881048	0.000000000000	0.001049912658	0.000024597954	0.000034797105	0.000038596789	0.017998502705	0.001459878553	0.020398303065	0.000475960405	0.000505957909	0.000327972716	0.003269727991	0.000291975711	0.082693120759	0.004919590739	0.000965919645	0.000892925718	0.000000000000	0.000772935699	0.000000000000	0.000029897513	0.000056595292	0.000000000000
DBS6	0.002660570881	0.000146031334	0.000240051508	0.008581841414	0.000104022320	0.000132028329	0.010102167632	0.000449096363	0.003180682482	0.000114024466	0.000063913714	0.000001820391	0.001620347680	0.000017203691	0.002200472158	0.000000000000	0.061613220410	0.000438094002	0.035507618905	0.018103884569	0.003440738283	0.002220476450	0.006871474419	0.000000000000	0.007541618213	0.000590126624	0.003220691067	0.000000000000	0.008911912238	0.018704013339	0.004480961484	0.001950418503	0.039508477373	0.007341575289	0.001790384165	0.006811461542	0.000088418972	0.000000000000	0.011202403711	0.000000000000	0.003660785498	0.001880403480	0.008691865022	0.000000000000	0.000829177918	0.008571839268	0.000259055586	0.026105601505	0.000264056659	0.000218046787	0.000062513414	0.045809829461	0.008281777029	0.000594127483	0.011802532481	0.000862185000	0.009392015254	0.007341575289	0.001510324072	0.000000000000	0.025505472735	0.010102167632	0.221047430368	0.011402446634	0.007891693329	0.275059019689	0.007441596751	0.005601201855	0.027405880507	0.000193041421	0.000128027471	0.002120454988	0.000000000000	0.000000000000	0.000011202404	0.000000000000	0.000000409088	0.000000000000
DBS7	0.045880132068	0.006247294672	0.013594113205	0.009725788345	0.002538900555	0.004498052163	0.005417653939	0.000997568013	0.001179489234	0.011095195337	0.006257290343	0.001109519534	0.014393766923	0.009285978800	0.033985283013	0.000000000000	0.000082964073	0.000851631210	0.000301869279	0.002049112652	0.000162929445	0.000000000000	0.000235897847	0.000000000000	0.000062073120	0.000186919057	0.000020691040	0.000000000000	0.000048678920	0.000031286452	0.000000000000	0.000000000000	0.001259454606	0.001869190566	0.015593247500	0.003998268590	0.000000000000	0.063172643718	0.000000000000	0.000000000000	0.000072968402	0.000349848502	0.000669709989	0.002648852941	0.000006237299	0.055775846827	0.003048679800	0.029087403991	0.001509346393	0.004308134405	0.026288615978	0.019591516090	0.000003998269	0.002289008768	0.002708826970	0.001629294450	0.009186022085	0.000000000000	0.000705694406	0.000000000000	0.022590217532	0.002618865926	0.001289441620	0.023889654824	0.001049545505	0.000000000000	0.008246428966	0.003878320532	0.008706229854	0.234898279649	0.039982685898	0.053876669247	0.097657710305	0.035384677019	0.002668844284	0.043581127628	0.003668411431	0.000000000000
DBS8	0.214923551693	0.000972654027	0.317886927620	0.001159587535	0.000809711985	0.000150946308	0.012395590888	0.002569086176	0.000267904706	0.000027790115	0.000142949153	0.000265905417	0.000161942397	0.000225919640	0.000314887994	0.038086452649	0.015494488610	0.028789759483	0.000808712341	0.000055980088	0.000228918574	0.000715745409	0.004208503035	0.004378442588	0.000321885505	0.000000000000	0.001209569756	0.000505820080	0.000904678206	0.000328883016	0.020592675185	0.013995021971	0.020392746300	0.005568019455	0.000236915729	0.000305891195	0.010896124249	0.017793670791	0.000965656516	0.012895413102	0.008516970514	0.005508040790	0.004828282580	0.000241913951	0.008556956291	0.009696550937	0.000020892569	0.004098542149	0.000788719452	0.000216922841	0.000152945597	0.038786203747	0.011595875347	0.018493421890	0.017593741906	0.010896124249	0.008756885176	0.009606582938	0.001909320855	0.000275901862	0.008646924289	0.003848631042	0.008217077186	0.005058200798	0.001249555533	0.019493066316	0.000270903640	0.003538741270	0.007857205192	0.003578727047	0.000000000000	0.014594808627	0.006287763443	0.000293895461	0.000115958753	0.003628709268	0.000285898306	0.000537808701
